Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
5b5351eac13c701c939a1c410eb14878,2019-08-04 06:48:37 +0000, .Net Developer," 1,75,000 - 2,75,000 PA. ",1 - 3 yrs, asp.net mvc| jQuery| ADO.Net| Javascript| MS SQL Server| MVC| Web Services,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer
730a382ff441b7ef61f80cc5cb712dfd,2019-07-04 10:36:18 +0000, .Net Developer - ASP/ C#/ MVC, Not Disclosed by Recruiter ,3 - 8 yrs, ASP| .Net| C#| MVC| Javascript| jQuery| SQL Server| SDLC| LINQ| Entity Framework| RDBMS,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
0769efa1d394cf6873e878ac1573f968,2019-08-05 06:03:02 +0000, .Net Developers, Not Disclosed by Recruiter ,5 - 8 yrs, asp.net| mvc| angularjs| javascript,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
9f690ed6dabded98b63ef93ade4fb4c2,2019-07-05 20:53:29 +0000, Ab initio Developer, Not Disclosed by Recruiter ,4 - 6 yrs, Ab Initio| Oracle| Perl| Db2| Python| Teradata| SDLC| Unix shell scripting| Data analysis| Control-M,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
043872901359d16883c77b9d1368b7d7,2019-07-07 06:45:17 +0000, Academic Counsellor, Not Disclosed by Recruiter ,0 - 2 yrs, Academic Counselor,,Bengaluru,Other,"Education, Teaching, Training",Other
3d7488b56124293b18221515569e0ef9,2019-08-04 13:38:33 +0000, Account Assistant, Not Disclosed by Recruiter ,3 - 5 yrs, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant
f1ba59dd050d022899067035f8107286,2019-07-07 02:38:44 +0000, Account Assistant, Not Disclosed by Recruiter ,2 - 5 yrs, Accounts| finance| mba| excel| commerce,Accounts,Bengaluru,"Accounts , Finance , Tax , Company Secretary , Audit","Education, Teaching, Training",Accounts Executive/Accountant
4f84463be4cccc0ded847242d4bf11d0,2019-07-06 15:05:31 +0000, Account Assistant, Not Disclosed by Recruiter ,5 - 8 yrs, Administration| Credit Officers| Report Generation| Analysts| Data Entry| Risk Management,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant
2b1ca08f42bfc6837ac499d8dcde9b61,2019-07-05 10:48:30 +0000, Account Assistant - Female, Not Disclosed by Recruiter ,1 - 4 yrs, Auditing| Tally| Sales tax| Excise| Income tax,Accounts,Ahmedabad,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
ba5defaeab3ef3620098d51238bd0ef1,2019-07-06 04:51:12 +0000, Account Executive, Not Disclosed by Recruiter ,0 - 3 yrs, Account Executive,Accounts,"Faridabad,Gurgaon","Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
d463bed8c0f26cbc2fc624f0ec6b5752,2019-08-06 03:13:47 +0000, Account Executive, Not Disclosed by Recruiter ,1 - 2 yrs, Administration| Credit Officers| Report Generation| Policies| Analysts| analytical skills| Risk Management,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant
